,NAME,DEVELOPER,PUBLISHER,BASE PRICE,SUCCESS,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,Movie,RPG,Racing,Simulation,Sports,Strategy,LAN Co-op,Online Co-op,Online PvP,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player,NEGATIVE REVIEWS,POSITIVE REVIEWS,TOTAL REVIEWS,ALL TIME PEAK,positive_review_rate,peak_ratio,log_negative_reviews,log_positive_reviews,log_total_reviews,log_all_time_peak
220,Rust,Facepunch Studios,Facepunch Studios,39.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,133221,899319,1032540,244394,0.870977395548841,0.337680139446959,11.7997721886153,13.7093942011749,13.847533312472,12.4065410478052
221,Death Road to Canada,"Rocketcat Games,Madgarden",Rocketcat Games,14.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,575,7733,8308,660,0.930789600385171,0.154545454545455,6.35610766069589,8.95338147216724,9.02509454366498,6.49375383985169
222,Nihilumbra,BeautiFun Games,BeautiFun Games,7.99,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,330,2569,2899,2739,0.886167644015178,0.0003650967506389,5.80211837537706,7.85166117788927,7.97246601597457,7.91571319938212
223,PULSAR: Lost Colony,Leafy Games,Leafy Games,24.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,498,4772,5270,1122,0.90550284629981,0.0445632798573975,6.21260609575152,8.4707303170059,8.56997537685521,7.02375895473844
224,Race The Sun,Flippfly LLC,Flippfly LLC,9.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,398,5872,6270,6371,0.93652312599681,0.0017265735363365,5.98896141688986,8.67812085552252,8.74369111054302,8.75966867102994
225,A Hat in Time,Gears for Breakfast,Gears for Breakfast,29.99,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1012,48034,49046,7272,0.979366309179138,0.021039603960396,6.92067150424868,10.7796851908438,10.8005343010435,8.89192414015454
226,Stonehearth,Radiant Entertainment,(none),19.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2908,9296,12204,1821,0.761717469682071,0.0697419000549149,7.9755646584952,9.13744704645586,9.40960098282706,7.5076900778199
227,Wrack,Final Boss Entertainment,Final Boss Entertainment,9.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,175,406,581,1025,0.698795180722892,0.0,5.17048399503815,6.00881318544259,6.36647044773144,6.93342302573071
228,theHunter Classic,"Expansive Worlds,Avalanche Studios","Expansive Worlds,Avalanche Studios",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17540,23284,40824,2703,0.570350774054478,0.400665926748058,9.77229627684378,10.0555646554165,10.6170499178387,7.90248743716286
229,Knights and Merchants,Topware Interactive,Topware Interactive,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,696,3730,4426,7450,0.842747401717126,0.0130201342281879,6.54678541076052,8.22443157322116,8.39547743273214,8.91610353055373
230,Aquanox Deep Descent,Digital Arrow,THQ Nordic,29.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,316,305,621,1216,0.491143317230274,0.0,5.75890177387728,5.72358510195238,6.43294009273918,7.10414409298753
231,GRID Autosport,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)","Codemasters,Feral Interactive (Mac),Feral Interactive (Linux)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1894,6714,8608,3539,0.779972118959108,0.012150324950551,7.54697411751653,8.81209910895734,9.06056344665796,8.17188200612782
232,Viscera Cleanup Detail: Shadow Warrior,RuneStorm,Devolver Digital,29.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,814,3328,4142,1148,0.803476581361661,0.0121951219512195,6.70318811324086,8.11042723757502,8.3291754420774,7.04664727784876
233,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,29.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16927,235088,252015,57421,0.932833363093467,0.192647289319239,9.73672433465803,12.3677194448329,12.4372478565415,10.9581827841378
234,Child of Light,Ubisoft Montréal,Ubisoft,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1008,11853,12861,2692,0.921623512946116,0.0092867756315007,6.91671502035361,9.38042064234778,9.46203250669481,7.8984110928116
235,Rebuild 3: Gangs of Deadsville,"Northway Games,Sarah Northway",Northway Games,9.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,256,1584,1840,1181,0.860869565217391,0.0347163420829805,5.54907608489522,7.36833968631138,7.51806418123308,7.07496319796604
236,Baldur's Gate II: Enhanced Edition,Beamdog,Beamdog,19.99,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,739,8281,9020,2644,0.918070953436807,0.200832072617247,6.60665018619822,9.02183976410551,9.10731047165664,7.8804263442924
237,Serious Sam 4,Croteam,Devolver Digital,10.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2395,11903,14298,6485,0.832494055112603,0.0181958365458751,7.78155595923534,9.38462975707287,9.56794488373285,8.77740128686726
238,The Talos Principle,Croteam,"Devolver Digital,Croteam",29.99,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1300,27809,29109,3977,0.955340272767872,0.101584108624591,7.1708884785125,10.233150947228,10.2788370367397,8.28853445941392
239,Bloody Trapland,2Play,2Play,4.99,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,717,3234,3951,1099,0.818526955201215,0.0100090991810737,6.57646956904822,8.081784206935,8.28197705886776,7.00306545878646
240,Hyper Light Drifter,Heart Machine,Heart Machine,19.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1091,15585,16676,4929,0.934576637083233,0.0058835463582876,6.99576615630485,9.65412835440351,9.72178580362158,8.50309426703674
241,The Vanishing of Ethan Carter,The Astronauts,The Astronauts,19.99,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1010,7672,8682,1431,0.88366735775167,0.0006988120195667,6.91869521902047,8.94546295217767,9.06912237006065,7.26682734752059
242,Just Cause 2: Multiplayer Mod,Avalanche Studios,Square Enix,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1257,13783,15040,10436,0.916422872340426,0.0023955538520505,7.13727843726039,9.53126377820777,9.61853508465521,9.25311246382005
243,Hero of the Kingdom,Lonely Troops,Lonely Troops,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,289,4168,4457,994,0.935158178146736,0.0030181086519114,5.66988092298052,8.3354314778808,8.40245551394581,6.90274273715859
244,Tales of Maj'Eyal,Netcore Games,Netcore Games,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,274,5909,6183,867,0.955684942584506,0.136101499423299,5.61677109766657,8.68440111040014,8.72972059026726,6.76619171466035
245,The Walking Dead: Season Two,Telltale Games,Skybound Games,14.99,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1069,28196,29265,18433,0.963471723902272,0.005208050778495,6.97541392745595,10.2469708682884,10.2841817116524,9.82195206455361
246,Lethal League,Team Reptile,Team Reptile,13.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353,5704,6057,1836,0.941720323592538,0.0054466230936819,5.86929691313377,8.64909826229618,8.70913499158718,7.51588908521513
247,Distant Worlds: Universe,Code Force,Slitherine Ltd.,29.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,423,1355,1778,1239,0.762092238470191,0.0185633575464084,6.04973345523196,7.21229446850034,7.48380668766583,7.12286665859908
248,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,49.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,28705,209493,238198,248034,0.879491011679359,0.0859035454816678,10.2648614391313,12.2524503783161,12.3808617377417,12.4213251442216
249,Ori and the Blind Forest,Moon Studios GmbH,Xbox Game Studios,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2749,51003,53752,13048,0.948857716922161,0.0313458001226242,7.91935619066062,10.8396593400034,10.8921547583859,9.47646678146225
250,Borderlands: The Pre-Sequel,"2K Australia,Gearbox Software,Aspyr (Linux)","2K,Aspyr (Linux)",39.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7366,32179,39545,67244,0.813731192312555,0.0098001308666944,8.90476584668281,10.3791004205464,10.5852198302808,11.1160979452576
251,Estranged: Act I,Alan Edwardes,Alan Edwardes,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,459,6530,6989,1202,0.934325368436114,0.0058236272878535,6.13122648948314,8.78431534990266,8.85223583522786,7.09257371597468
252,Dungeons 2,Realmforge Studios,Kalypso Media Digital,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,925,4095,5020,11691,0.815737051792829,0.0030792917628945,6.83087423464618,8.31776616671934,8.5213843960347,9.36666012623114
253,World of Guns: Gun Disassembly,Noble Empire Corp.,Noble Empire Corp.,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2946,15558,18504,1597,0.840791180285344,0.0926737633061991,7.98854298273769,9.65239452831496,9.82579624482026,7.37650812632622
254,Dead Man's Draw,Stardock Entertainment,Stardock Entertainment,6.99,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,101,514,615,1355,0.835772357723577,0.0,4.62497281328427,6.24416690066374,6.42324696353352,7.21229446850034
255,Broken Sword 5 - the Serpent's Curse,Revolution Software Ltd,Revolution Software Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,281,2200,2481,1101,0.886739218057235,0.0118074477747502,5.64190707093811,7.69666708152646,7.81681996576455,7.00488198971286
256,FootLOL: Epic Soccer League,HeroCraft,HeroCraft PC,9.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,175,899,1074,1308,0.837057728119181,0.0,5.17048399503815,6.80239476332431,6.98007594056176,7.1770187659099
257,Out There Somewhere,MiniBoss,Senpai Studios,9.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480,6418,6898,2268,0.930414612931284,0.0004409171075837,6.17586727010576,8.76701762131178,8.83913175254611,7.72709448477984
258,Full Bore,Whole Hog Games,Nkidu Games Inc.,14.99,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35,198,233,2892,0.849785407725322,0.0,3.58351893845611,5.29330482472449,5.4553211153577,7.97004930497614
259,Pixel Piracy,Vitali Kirpu,Vitali Kirpu,14.99,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2515,4816,7331,2146,0.656936297912972,0.0027958993476234,7.83042561782033,8.47990660663022,8.9000036089596,7.67182679787878
260,One Finger Death Punch,Silver Dollar Games,Silver Dollar Games,4.99,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,323,15871,16194,1857,0.980054341113993,0.007539041464728,5.78074351579233,9.67231182952465,9.69245783160543,7.52725591937378
261,Global Outbreak: Doomsday Edition,ShortRound Games,ShortRound Games,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22,54,76,1431,0.710526315789474,0.0006988120195667,3.13549421592915,4.00733318523247,4.34380542185368,7.26682734752059
262,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,29.99,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8369,252817,261186,50876,0.967957700642454,0.0672419215347119,9.03240916348352,12.4404251412517,12.4729919048549,10.8371662340115
263,The Red Solstice,Ironward,Ironward,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,687,1736,2423,81972,0.716467189434585,7.31957253696384e-05,6.53378883793334,7.4599147662411,7.7931743471892,11.314145203733
264,Epic Battle Fantasy 4,Matt Roszak,Matt Roszak,14.99,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,94,2875,2969,1111,0.968339508251937,0.0801080108010801,4.55387689160054,7.96415571884094,7.99631723179675,7.01391547481053
265,Fistful of Frags,Fistful of Frags Team,Fistful of Frags Team,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3036,32402,35438,3498,0.914329251086404,0.0417381360777587,8.01862546504575,10.3860062900866,10.4755681876166,8.16023249236769
266,Goat Simulator,Coffee Stain Studios,Coffee Stain Publishing,9.99,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6229,59390,65619,10022,0.905073225742544,0.0150668529235681,8.7371316117815,10.9918979787196,11.0916358065151,9.21263773102487
267,iRacing,"iRacing.com Motorsport Simulations,iRacing","iRacing.com Motorsport Simulations,iRacing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,496,3028,3524,718,0.859250851305335,0.328690807799443,6.20859002609663,8.01598781102724,8.16763571524637,6.57786135772105
268,Hand of Fate,Defiant Development,Defiant Development,19.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1079,9327,10406,2169,0.896309821256967,0.0059935454126325,6.98471632011827,9.14077590859027,9.25023393563786,7.68248244653451
269,Age of Mythology: Extended Edition,"SkyBox Labs,Ensemble Studios",Xbox Game Studios,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2309,30040,32349,11010,0.928622213978794,0.223433242506812,7.74500280351584,10.3103183942721,10.384369299929,9.30665005211359
270,The LEGO® Movie - Videogame,"TT Fusion,Traveller's Tales",Warner Bros. Interactive Entertainment,19.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,584,3958,4542,1394,0.871422280933509,0.0380200860832138,6.37161184723186,8.28374674710613,8.4213428657594,7.24064969425547
271,The Evil Within,Tango Gameworks,Bethesda Softworks,9.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4125,23489,27614,4089,0.850619251104512,0.0462215700660308,8.3250636936312,10.064330077653,10.2261143823353,8.31630024903685
272,Heat Signature,Suspicious Developments,Suspicious Developments,14.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,363,6440,6803,3825,0.946641187711304,0.0086274509803921,5.89715386763674,8.77043908654689,8.82526595351575,8.2495751500002
273,Mechanic Escape,Slak Games,Plug In Digital,4.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,113,668,781,1380,0.855313700384123,0.0,4.7361984483945,6.50578406012823,6.66185474054531,7.23056315340929
274,Magicite,SmashGames,SmashGames,9.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1118,6429,7547,1970,0.851861666887505,0.0091370558375634,7.02019070831193,8.76872981723167,8.92903790648844,7.58629630715272
275,Satellite Reign,5 Lives Studios,5 Lives Studios,29.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1459,3633,5092,7202,0.713472113118617,0.0018050541516245,7.28619171470238,8.19808924895612,8.5356223268846,8.88225288488936
276,Cuphead,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,19.99,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5562,150003,155565,19076,0.964246456465143,0.0743866638708325,8.62389281007529,11.9184172393895,11.9548253578524,9.85623869993552
277,Hero Siege,Panic Art Studios Ltd.,Panic Art Studios Ltd.,7.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11946,27744,39690,4912,0.69901738473167,0.0620928338762215,9.38823547981722,10.23081092276,10.588879740723,8.49964003216865
278,Burning Cars,Polynetix Studio,Polynetix Studio,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34,4,38,964,0.105263157894737,0.0,3.55534806148941,1.6094379124341,3.66356164612965,6.87212810133899
279,Tumblestone,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,441,1414,1855,13135,0.762264150943396,0.0003045298819946,6.0913098820777,7.25488481007734,7.52617891334615,9.48311183169221
280,Secrets of Grindea,Pixel Ferrets,Pixel Ferrets,14.99,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,660,5610,6270,434,0.894736842105263,0.504608294930876,6.49375383985169,8.63248423575097,8.74369111054302,6.07534603108868
281,X-Plane 11,Laminar Research,Laminar Research,29.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1253,15934,17187,4173,0.927096060976319,0.179007907979871,7.13409372119287,9.67627322685144,9.75196674489489,8.33663008763715
282,RUNNING WITH RIFLES,Osumia Games,Osumia Games,14.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1804,13344,15148,14127,0.880908370742012,0.0188291923267502,7.49831587076698,9.49889706183862,9.62568980215832,9.55591392284374
283,Lambda Wars,Vortal Storm,Vortal Storm,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,456,5823,6279,980,0.927376970855232,0.0479591836734694,6.12468339089421,8.66974258987652,8.74512525946224,6.88857245956536
284,Yet Another Zombie Defense,Awesome Games Studio,Awesome Games Studio,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1629,10607,12236,65806,0.866868257600523,0.0001367656444701,7.39633529380081,9.26936371242564,9.41221942798567,11.0944814946339
285,Car Mechanic Simulator 2014,"PlayWay S.A.,Red Dot Games",PlayWay S.A.,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,852,4152,5004,1078,0.829736211031175,0.0027829313543599,6.74875954749168,8.33158624363075,8.51819269174932,6.98378996525813
286,American Truck Simulator,SCS Software,SCS Software,19.99,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4743,141921,146664,19138,0.967660775650466,0.427108370780646,8.46463594067756,11.8630328898906,11.8959063535254,9.85948341703807
287,Offworld Trading Company,Mohawk Games,Stardock Entertainment,29.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1252,4171,5423,2698,0.769131477042228,0.0155670867309118,7.13329595489607,8.33615081612066,8.59858882962023,7.900636613018
288,Industry Giant 2,"Fancy Bytes, Reactor",Toplitz Productions,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,114,745,859,247,0.867287543655413,0.267206477732794,4.74493212836325,6.61472560020376,6.75693238924755,5.51342874616498
289,Tribloos 2,BumpkinBrothers,BumpkinBrothers,4.99,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,46,246,292,1004,0.842465753424658,0.0,3.85014760171006,5.50938833662798,5.68017260901707,6.91274282049318
290,Grand Theft Auto V,Rockstar North,Rockstar Games,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,234542,1518229,1752771,360761,0.866187881930954,0.369687965162531,12.3653942189284,14.233055740612,14.3767090926949,12.7959737401161
291,Super Killer Hornet: Resurrection,Flump Studios,Funbox Media Ltd,4.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,300,499,799,1606,0.624530663329161,0.0006226650062266,5.70711026474888,6.21460809842219,6.68461172766793,7.38212436573751
292,Serena,Senscape,Senscape,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1453,4892,6345,869,0.771000788022065,0.0057537399309551,7.28207365809346,8.49556089128912,8.75557997214314,6.76849321164863
293,Torment: Tides of Numenera,inXile Entertainment,inXile Entertainment,34.99,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1221,2891,4112,7328,0.70306420233463,0.0016375545851528,7.10824413973154,7.96970358327866,8.32190796823042,8.89959435992585
294,The Incredible Adventures of Van Helsing II,NeocoreGames,NeocoreGames,14.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,754,1682,2436,1688,0.69047619047619,0.0071090047393364,6.62671774924902,7.42833319419081,7.79852305362521,7.4318919168078
295,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,"CyberConnect2 Co., Ltd.",BANDAI NAMCO Entertainment,29.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1294,6943,8237,6782,0.842903969891951,0.0026540843409023,7.16626597413364,8.84563325634019,9.01651287499603,8.82217476094608
296,Counter-Strike Nexon: Studio,"Valve,NEXON",NEXON,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14028,27624,41652,9858,0.663209449726304,0.084702779468452,9.54888189471877,10.2264764388201,10.6371286738126,9.19614002257504
297,Evolve Stage 2,Turtle Rock Studios,2K,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14581,33792,48373,51099,0.698571517168668,0.0002348382551517,9.58754317036638,10.4280089594311,10.7867177582838,10.8415397761918
