"NAME","GENRES","DEVELOPER","PUBLISHER","RELEASE DATE","PLATFORMS","TAGS","SP/COOP/MP","BASE PRICE","NEGATIVE REVIEWS","POSITIVE REVIEWS","TOTAL REVIEWS","24-HR PEAK (2/28)","ALL TIME PEAK","positive_review_rate","peak_ratio","success","log_negative_reviews","log_positive_reviews","log_total_reviews","log_peak","log_all_time_peak"
"Treasure of Nadia","Adventure","NLT Media","NLT Media",2022-02-15,"Windows,macOS,SteamOS,Linu","Sexual Content,Nudity,Mature,3D,NSFW,Point & Click,Story Rich,Visual Novel,Hentai,Dating Sim,Adventure,Singleplayer,Romance,RPG,Third Person,Mystery,Top-Down,Comedy,Drama,VR","Single-player",14.99,328,5200,5528,274,1697,0.940665701881331,0.161461402474956,0,5.79605775076537,8.55660619377307,8.61776224633793,5.61677109766657,7.43720636687129
"Noobs Want to Live","Action,Adventure,Casual,Indie","元气弹工作室","Lightning Games",2023-02-13,"Windows","Bullet Hell,Roguelike,Pixel Graphics,Action,2.5D,Casual,Action Roguelike,Roguelite,Action RPG,Singleplayer,Top-Down,Adventure,Combat,Perma Death,Relaxing,Funny,Resource Management,Procedural Generation,Cartoony,Cute","Single-player",4.99,420,4144,4564,0,0,0.907975460122699,NA,0,6.04263283368238,8.3296580675694,8.42617379302907,0,0
"Have a Nice Death","Action,Indie","Magic Design Studios","Gearbox Publishing",2023-03-22,"Windows","Action Roguelike,Hack and Slash,Funny,Singleplayer,Action,2D,2D Platformer,Dark Humor,Cartoony,Cartoon,Gothic,Roguelike,Controller,Comedy,Roguelite,Early Access,Combat,Indie,Metroidvania,Platformer","Single-player",24.99,1210,7702,8912,127,2481,0.864228007181329,0.0511890366787586,0,7.09920174355309,8.94936514235297,9.09526616413072,4.85203026391962,7.81681996576455
"Idol Showdown","Action,Indie","Besto Game Team","Besto Games",2023-05-05,"Windows","2D Fighter,PvP,Action,Anime,Arcade,2D,Fighting,Pixel Graphics,Free to Play,Multiplayer,Combat,Fantasy,Old School,1990's,Indie,Singleplayer,Female Protagonist,Local Multiplayer","Single-player,Online PvP,Shared/Split Screen PvP",0,291,4656,4947,110,10655,0.941176470588235,0.010323791647114,1,5.67675380226828,8.44612674298238,8.50673873351238,4.70953020131233,9.27387839278017
"Sexy Airlines","Casual,Free to Play","Playduction","Playduction,Nutaku Publishing",2021-12-20,"Windows","Sexual Content,Nudity,Free to Play,Casual,NSFW,Mature,Idler,Dating Sim,Singleplayer,Romance,Hentai","Single-player",0,334,293,627,0,0,0.467304625199362,NA,0,5.81413053182507,5.68357976733868,6.4425401664682,0,0
"Lunacid","Indie,RPG","KIRA LLC","KIRA LLC",2023-10-30,"Windows","Dungeon Crawler,Dark Fantasy,First-Person,RPG,Atmospheric,Retro,Action RPG,Souls-like,Metroidvania,Singleplayer,3D,Indie,Stylized,Horror,Combat,Open World,Violent,PvE,Gore,Early Access","Single-player",13.99,481,5422,5903,67,1814,0.91851600880908,0.0369349503858875,0,6.1779441140506,8.59840444684106,8.68338536628031,4.21950770517611,7.50384074669895
"Murders on the Yangtze River","Adventure,Indie,RPG","OMEGAMES STUDIO","OMEGAMES STUDIO",2024-01-30,"Windows,macO","Adventure,Indie,Puzzle,Detective,Story Rich,Exploration,Puzzle Platformer,Drama,Mystery,Logic,Investigation,Historical,Lore-Rich,RPG,Singleplayer,Text-Based,First-Person,Old School,2D,Colorful","Single-player",14.99,146,6478,6624,0,0,0.977958937198068,NA,1,4.99043258677874,8.77632145644996,8.79860565085442,0,0
"Momodora: Moonlit Farewell","Action,Adventure,Indie","Bombservice","PLAYISM",2024-01-11,"Windows","Adventure,Action,Metroidvania,Pixel Graphics,Action-Adventure,Platformer,2D,Exploration,Fantasy,Combat,Singleplayer,Retro,Female Protagonist,2D Platformer,Magic,Sexual Content,Indie,Anime,Nudity,Souls-like","Single-player",16.99,118,1443,1561,70,867,0.924407431133889,0.0807381776239908,0,4.77912349311153,7.27517231945277,7.35372233039963,4.26267987704132,6.76619171466035
"FlipWitch - Forbidden Sex Hex","Action,Adventure","MomoGames,Critical Bliss","Critical Bliss",2023-11-17,"Windows","Sexual Content,Nudity,Hentai,Metroidvania,Pixel Graphics,Platformer,NSFW,2D Platformer,Mature,Souls-like,Female Protagonist,Retro,Adventure,Anime,2D,Action,Side Scroller,LGBTQ+,Singleplayer,Cartoony","Single-player",14.99,146,2651,2797,122,1702,0.94780121558813,0.0716803760282021,0,4.99043258677874,7.88306935130575,7.93666015522543,4.81218435537242,7.44014668066269
"King of Kinks","RPG,Strategy,Free to Play","DPH Studio","Nutaku Publishing",2022-05-10,"Windows","Sexual Content,Free to Play,Nudity,Hentai,NSFW,Dating Sim,RPG,Anime,Tactical RPG,Party-Based RPG,Auto Battler,Romance,Singleplayer,Fantasy,Female Protagonist,Turn-Based Combat,Strategy,Cute,Team-Based,Magic","Single-player",0,427,585,1012,213,607,0.578063241106719,0.350906095551895,0,6.0591231955818,6.37331978957701,6.92067150424868,5.36597601502185,6.41017488196617
